Id,SalePrice
0,380538.5591040811
1,218304.3113867278
2,109044.63863898173
3,207495.3528049332
4,124113.4799202298
5,208494.52790821515
6,187004.0081765862
7,205553.00493977254
8,327516.1906755825
9,222858.28301475107
10,286928.0430713218
11,208491.19954279947
12,123889.39956530632
13,163482.0713397212
14,204044.66257300158
15,177852.35920282095
16,214118.63648925137
17,170032.88859897258
18,169565.71660462208
19,138831.77460065985
20,120756.63091575411
21,132081.09278439637
22,120367.7570646056
23,135697.83083188973
24,142772.5650945549
25,129044.71195708425
26,172098.52500322278
27,129956.3130788512
28,132630.21153503735
29,129998.44125231612
30,135538.5549195981
31,144842.6633369225
32,146407.4268511769
33,105332.76777971323
34,102403.5217806293
35,123592.40990545313
36,151402.0386743709
37,114320.11851781255
38,205511.25144741824
39,102212.69688180849
40,207394.36284666133
41,91099.90026041803
42,201513.9867450438
43,217348.83848723955
44,152459.2321977698
45,193438.24009049722
46,313229.2153146038
47,111256.17674777012
48,91006.42857033286
49,135492.19137746544
50,142654.21174699132
51,200291.8284320931
52,212056.24114837742
53,221357.23214119725
54,126640.78704575209
55,211226.02764402522
56,186522.0616834157
57,131428.88118550862
58,115772.77837961595
59,81053.14675696939
60,320256.2386656163
61,168307.2505007465
62,162638.36051661053
63,207596.6829760031
64,201441.10257322236
65,159447.97331955825
66,338771.0450560996
67,205607.24314846948
68,184665.07106850226
69,110113.87934354703
70,124278.7358552699
71,117778.85376986903
72,148190.29085743678
73,175655.77247346143
74,146936.76727864068
75,134770.67849285054
76,373042.4409567434
77,401756.93664274825
78,273899.9150472251
79,519600.53202224895
80,408427.2756193512
81,329268.84661680594
82,207785.85784843916
83,478336.6629227014
84,424564.04775217
85,311809.0951620882
86,187004.0081765862
87,229768.69580249672
88,205068.60023930582
89,202262.34092933373
90,178454.5171710047
91,182232.0692236045
92,218467.54257843998
93,260232.0701553233
94,183120.1828579491
95,160117.3787175824
96,167556.6864028921
97,310463.43672685395
98,277549.93275148823
99,262590.0473214796
100,276700.02182415675
101,215481.49429020972
102,164487.99670459406
103,194197.79756337198
104,127990.33975580773
105,265894.3327809791
106,137692.94433272586
107,226424.80981450021
108,168568.05040811832
109,96400.72502393562
110,130091.28480978611
111,113197.25907649421
112,317458.4326032337
113,159272.910256768
114,147465.39073313167
115,112896.41788195253
116,160265.73719293292
117,167164.8720861288
118,110174.46028398396
119,129226.9600509283
120,120686.40117350825
121,122879.57571792167
122,177190.35002834816
123,169883.27102266715
124,117300.26091982334
125,193355.97132413194
126,146193.6288253719
127,119168.56656740002
128,113574.19634547601
129,133773.77333632775
130,84155.31507267628
131,157233.96382085746
132,155434.87261595344
133,128563.46769931047
134,120012.64920534696
135,129494.76352680998
136,101407.2917078215
137,121327.78400855772
138,75070.62806782952
139,178872.4971153384
140,119122.48441638974
141,192052.84239954234
142,129900.61808086582
143,117443.97849295489
144,187262.41972080074
145,187562.24655764023
146,180801.81735464375
147,132042.09454352828
148,158091.09076647155
149,91259.01172999806
150,57963.58417141551
151,139675.9624035419
152,143382.7916540741
153,89158.84001741781
154,132998.11066819177
155,291566.80956729705
156,206418.50339557196
157,244843.61903302174
158,145908.95231246937
159,132936.26476852907
160,262677.41275782924
161,242403.6639222243
162,134162.70359423323
